"National
Dex","Pokemon
Name",Generation,Type,"Kanto Dex #
(RBYFRLG)","Kanto Dex #
(LGPE)","New Dex #
(GSC)","Johto Dex #
(HGSS)","Hoenn Dex #
(RSE)","Hoenn Dex #
(ORAS)","Sinnoh Dex #
(DPBDSP)","Sinnoh Dex #
(Pt)","Unova Dex #
(BW)","Unova Dex #
(B2W2)","Central Kalos Dex #
(XY)","Coastal Kalos Dex #
(XY)","Mount Kalos Dex #
(XY)","Alola Dex #
(SM)","Melemele Dex #
(SM)","Akala Dex #
(SM)","Ula'ula Dex #
(SM)","Poni Dex #
(SM)","Alola Dex #
(USUM)","Melemele Dex #
(USUM)","Akala Dex #
(USUM)","Ula'ula Dex #
(USUM)","Poni Dex #
(USUM)","Galar Dex #
(SwSh)","Isle of Armor Dex #
(SwSh)","Crown Tund Dex #
(SwSh)","Hisui Dex #
(LA)","Paldea Dex #
(SV)",Kitakami Dex # (SV),Blueberry Dex # (SV),HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,Height (ft),Height (m),Weight (lbs),Weight (kg),HP EVs,Attcak EVs,Defense EVs,Special Attack EVs,Special Defense EVs,Speed EVs,"Experience
Value",Catch Rate,"Experience
Growth",Base Friendship,Pokedex Color,Gender Ratio,Egg Cycles,Egg Group I,Egg Group II,"Evolution
Method"
"774,2",Minior (Orange Core),7,,,,,,,,,,,,,,,213,,,85,,277,,,98,,,,,,,,106,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,"1'00""","0,3","0,7","0,3",,1,,1,,,175,30,Med Slow,50,Red,None,25,Mineral,,
"774,3",Minior (Yellow Core),7,,,,,,,,,,,,,,,213,,,85,,277,,,98,,,,,,,,106,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,"1'00""","0,3","0,7","0,3",,1,,1,,,175,30,Med Slow,50,Yellow,None,25,Mineral,,
"774,4",Minior (Green Core),7,,,,,,,,,,,,,,,213,,,85,,277,,,98,,,,,,,,106,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,"1'00""","0,3","0,7","0,3",,1,,1,,,175,30,Med Slow,50,Green,None,25,Mineral,,
"774,5",Minior (Blue Core),7,,,,,,,,,,,,,,,213,,,85,,277,,,98,,,,,,,,106,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,"1'00""","0,3","0,7","0,3",,1,,1,,,175,30,Med Slow,50,Blue,None,25,Mineral,,
"774,6",Minior (Indigo Core),7,,,,,,,,,,,,,,,213,,,85,,277,,,98,,,,,,,,106,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,"1'00""","0,3","0,7","0,3",,1,,1,,,175,30,Med Slow,50,Blue,None,25,Mineral,,
"774,7",Minior (Violet Core),7,,,,,,,,,,,,,,,213,,,85,,277,,,98,,,,,,,,106,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,"1'00""","0,3","0,7","0,3",,1,,1,,,175,30,Med Slow,50,Purple,None,25,Mineral,,
775,Komala,7,,,,,,,,,,,,,,,222,,,94,,286,,,107,,,,,,315,,,65,115,65,75,95,65,480,Normal,,Comatose,,,"1'04""","0,4","43,9","19,9",,2,,,,,168,45,Slow,50,Blue,Neutral,20,Field,,
776,Turtonator,7,,,,,,,,,,,,,,,224,,,96,,288,,,109,,347,,,,,,,60,78,135,91,85,36,485,Fire,Dragon,Shell Armor,,,"6'07""",2,"467,4",212,,,2,,,,170,70,Med Fast,50,Red,Neutral,20,Monster,Dragon,
777,Togedemaru,7,,,,,,,,,,,,,,,225,,,97,,292,,,113,,348,,,,,,,65,98,63,40,73,96,435,Electric,Steel,Iron Barbs ,Lightningrod,Sturdy,"1'00""","0,3","7,3","3,3",,2,,,,,152,180,Med Fast,50,Gray,Neutral,10,Field,Fairy,
778,Mimikyu,7,,,,,,,,,,,,,,,242,,,114,,315,,,136,,301,,46,,239,189,,55,90,80,50,105,96,476,Ghost,Fairy,Disguise,,,"0'08""","0,2","1,5","0,7",,,,,2,,167,45,Med Fast,50,Yellow,Neutral,20,Amorphous,,
779,Bruxish,7,,,,,,,,,,,,,,,243,,,115,,320,,,141,,,,,,335,,55,68,105,70,70,70,92,475,Water,Psychic,Dazzling ,Strong Jaw ,Wonder Skin,"2'11""","0,9","41,9",19,,2,,,,,166,80,Med Fast,50,Pink,Neutral,15,Water 2,,
780,Drampa,7,,,,,,,,,,,,,,,244,,,116,,321,,,142,,346,,,,,,,78,60,85,135,91,36,485,Normal,Dragon,Berserk ,Sap Sipper ,Cloud Nine,"9'10""",3,"407,9",185,,,,2,,,170,70,Med Fast,50,White,Neutral,20,Monster,Dragon,
781,Dhelmise,7,,,,,,,,,,,,,,,263,,,,78,344,,,,91,360,,162,,,,,70,131,100,86,90,40,517,Ghost,Grass,Steelworker,,,"12'10""","3,9",463,210,,2,,,,,181,25,Med Fast,50,Green,None,25,Mineral,,
782,Jangmo-o,7,Pseudo Legendary,,,,,,,,,,,,,,271,,,,86,361,,,,108,392,165,,,,131,,45,55,65,45,45,45,300,Dragon,,Bulletproof ,Soundproof ,Overcoat,"2'00""","0,6","65,5","29,7",,,1,,,,60,45,Slow,50,Gray,Neutral,40,Dragon,,Lv. 35
783,Hakamo-o,7,Pseudo Legendary,,,,,,,,,,,,,,272,,,,87,362,,,,109,393,166,,,,132,,55,75,90,65,70,65,420,Dragon,Fighting,Bulletproof ,Soundproof ,Overcoat,"3'11""","1,2","103,6",47,,,2,,,,147,45,Slow,50,Gray,Neutral,40,Dragon,,Lv. 45
784,Kommo-o,7,Pseudo Legendary,,,,,,,,,,,,,,273,,,,88,363,,,,110,394,167,,,,133,,75,110,125,100,105,85,600,Dragon,Fighting,Bulletproof ,Soundproof ,Overcoat,"5'03""","1,6","172,4","78,2",,,3,,,,300,45,Slow,50,Gray,Neutral,40,Dragon,,
785,Tapu Koko,7,Legendary,,,,,,,,,,,,,,285,120,,,,383,150,,,,,,,,,,,70,115,85,95,75,130,570,Electric,Fairy,Electric Surge ,Telepathy,,"5'11""","1,8","45,2","20,5",,,,,,3,285,3,Slow,50,Yellow,None,15,Undiscovered,,
786,Tapu Lele,7,Legendary,,,,,,,,,,,,,,286,,130,,,384,,160,,,,,,,,,,70,85,75,130,115,95,570,Psychic,Fairy,Psychic Surge ,Telepathy,,"3'11""","1,2",41,"18,6",,,,3,,,285,3,Slow,50,Pink,None,15,Undiscovered,,
787,Tapu Bulu,7,Legendary,,,,,,,,,,,,,,287,,,130,,385,,,160,,,,,,,,,70,130,115,85,95,75,570,Grass,Fairy,Grassy Surge ,Telepathy,,"6'03""","1,9","100,3","45,5",,3,,,,,285,3,Slow,50,Red,None,15,Undiscovered,,
788,Tapu Fini,7,Legendary,,,,,,,,,,,,,,288,,,,100,386,,,,130,,,,,,,,70,75,115,95,130,85,570,Water,Fairy,Misty Surge ,Telepathy,,"4'03""","1,3","46,7","21,2",,,,,3,,285,3,Slow,50,Purple,None,15,Undiscovered,,
789,Cosmog,7,Special,,,,,,,,,,,,,,289,,,,,387,,,,,,,,,,,,43,29,31,29,31,37,200,Psychic,,Unaware,,,"0'08""","0,2","0,2","0,1",1,,,,,,40,45,Slow,0,Blue,None,120,Undiscovered,,Lv. 43
790,Cosmoem,7,Special,,,,,,,,,,,,,,290,,,,,388,,,,,,,,,,,,43,29,131,29,131,37,400,Psychic,,Sturdy,,,"0'04""","0,1","2204,4","999,9",,,1,,1,,140,45,Slow,0,Blue,None,120,Undiscovered,,Lv. 53 (Sun/Sword)/Lv. 53 (Moon/Shield)
791,Solgaleo,7,Special,,,,,,,,,,,,,,291,,,,,389,,,,,,,,,,,,137,137,107,113,89,97,680,Psychic,Steel,Full Metal Body,,,"11'02""","3,4","507,1",230,,3,,,,,340,45,Slow,0,White,None,120,Undiscovered,,
792,Lunala,7,Special,,,,,,,,,,,,,,292,,,,,390,,,,,,,,,,,,137,113,89,137,107,97,680,Psychic,Ghost,Shadow Shield,,,"13'01""",4,"264,6",120,,,,3,,,340,45,Slow,0,Purple,None,120,Undiscovered,,
793,Nihilego,7,Ultra Beast,,,,,,,,,,,,,,293,,,,,391,,,,,,,,,,,,109,53,47,127,131,103,570,Rock,Poison,Beast Boost,,,"3'11""","1,2","122,4","55,5",,,,,3,,285,45,Slow,0,White,None,120,Undiscovered,,
794,Buzzwole,7,Ultra Beast,,,,,,,,,,,,,,294,,,,,394,,,,,,,,,,,,107,139,139,53,53,79,570,Bug,Fighting,Beast Boost,,,"7'10""","2,4","735,5","333,6",,1,2,,,,285,45,Slow,0,Red,None,120,Undiscovered,,
795,Pheromosa,7,Ultra Beast,,,,,,,,,,,,,,295,,,,,395,,,,,,,,,,,,71,137,37,137,37,151,570,Bug,Fighting,Beast Boost,,,"5'11""","1,8","55,1",25,,,,,,3,285,45,Slow,0,White,None,120,Undiscovered,,
796,Xurkitree,7,Ultra Beast,,,,,,,,,,,,,,296,,,,,396,,,,,,,,,,,,83,89,71,173,71,83,570,Electric,,Beast Boost,,,"12'06""","3,8","220,5",100,,,,3,,,285,45,Slow,0,Black,None,120,Undiscovered,,
797,Celesteela,7,Ultra Beast,,,,,,,,,,,,,,297,,,,,397,,,,,,,,,,,,97,101,103,107,101,61,570,Steel,Flying,Beast Boost,,,"30'02""","9,2","2204,4","999,9",,1,1,1,,,285,45,Slow,0,Green,None,120,Undiscovered,,
798,Kartana,7,Ultra Beast,,,,,,,,,,,,,,298,,,,,398,,,,,,,,,,,,59,181,131,59,31,109,570,Grass,Steel,Beast Boost,,,"1'00""","0,3","0,2","0,1",,3,,,,,285,45,Slow,0,White,None,120,Undiscovered,,
799,Guzzlord,7,Ultra Beast,,,,,,,,,,,,,,299,,,,,399,,,,,,,,,,,,223,101,53,97,53,43,570,Dark,Dragon,Beast Boost,,,"18'01""","5,5","1957,7",888,3,,,,,,285,45,Slow,0,Black,None,120,Undiscovered,,
800,Necrozma,7,Special,,,,,,,,,,,,,,300,,,,,400,,,,,,,,,,,,97,107,101,127,89,79,600,Psychic,,Prism Armor,,,"7'10""","2,4","507,1",230,,1,,2,,,300,3,Slow,0,Black,None,120,Undiscovered,,
"800,1",Necrozma (Dusk Mane),7,Special,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,97,157,127,113,109,77,680,Psychic,Steel,Prism Armor,,,"12'06""","3,8","1014,1",460,,3,,,,,340,3,Slow,0,Yellow,None,120,Undiscovered,,
"800,2",Necrozma (Dawn Wings),7,Special,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,97,113,109,157,127,77,680,Psychic,Ghost,Prism Armor,,,"13'09""","4,2","771,6",350,,,,3,,,340,3,Slow,0,Blue,None,120,Undiscovered,,
"800,3",Necrozma (Ultra),7,"Special, Ultra Burst",,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,97,167,97,167,97,129,754,Psychic,Dragon,Neuroforce,,,"24'07""","7,5","507,1",230,,1,,2,,,377,3,Slow,0,Yellow,None,120,Undiscovered,,
801,Magearna,7,Mythical,,,,,,,,,,,,,,301,,,,,401,,,,,,,,,,,,80,95,115,130,115,65,600,Steel,Fairy,Soul-Heart,,,"3'03""",1,"177,5","80,5",,,,3,,,300,3,Slow,0,Gray,None,120,Undiscovered,,
"801,1",Magearna (Original Color),8,Mythical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,95,115,130,115,65,600,Steel,Fairy,Soul-Heart,,,"3'03""",1,"177,5","80,5",,,,3,,,300,3,Slow,0,Red,None,120,Undiscovered,,
802,Marshadow,7,Mythical,,,,,,,,,,,,,,302,,,,,402,,,,,,,,,,,,90,125,80,90,90,125,600,Fighting,Ghost,Technician,,,"2'04""","0,7","48,9","22,2",,2,,,,1,300,3,Slow,0,Gray,None,120,Undiscovered,,
803,Poipole,7,Ultra Beast,,,,,,,,,,,,,,,,,,,261,,,,,,,,,,,,67,73,67,73,67,73,420,Poison,,Beast Boost,,,"2'00""","0,6",4,"1,8",,,,,,1,210,45,Slow,0,Purple,None,120,Undiscovered,,Level Up (Knowing Dragon Pulse)
804,Naganadel,7,Ultra Beast,,,,,,,,,,,,,,,,,,,262,,,,,,,,,,,,73,73,73,127,73,121,540,Poison,Dragon,Beast Boost,,,"11'10""","3,6","330,7",150,,,,3,,,270,45,Slow,0,Purple,None,120,Undiscovered,,
805,Stakataka,7,Ultra Beast,,,,,,,,,,,,,,,,,,,392,,,,,,,,,,,,61,131,211,53,101,13,570,Rock,Steel,Beast Boost,,,"18'01""","5,5","1807,8",820,,,3,,,,285,30,Slow,0,Gray,None,120,Undiscovered,,
806,Blacephalon,7,Ultra Beast,,,,,,,,,,,,,,,,,,,393,,,,,,,,,,,,53,127,53,151,79,107,570,Fire,Ghost,Beast Boost,,,"5'11""","1,8","28,7",13,,,,3,,,285,30,Slow,0,White,None,120,Undiscovered,,
807,Zeraora,7,Mythical,,,,,,,,,,,,,,,,,,,403,,,,,,,,,,,,88,112,75,102,80,143,600,Electric,,Volt Absorb,,,"4'11""","1,5","98,1","44,5",,,,,,3,300,3,Slow,0,Yellow,None,120,Undiscovered,,
808,Meltan,7,Mythical,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,65,65,55,35,34,300,Steel,,Magnet Pull,,,"0'08""","0,2","17,6",8,,1,,,,,150,3,Slow,0,Gray,None,120,Undiscovered,,400 Candies (Pokemon Go)
809,Melmetal,7,Mythical,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,143,143,80,65,34,600,Steel,,Iron Fist,,,"8'02""","2,5","1763,7",800,,3,,,,,300,3,Slow,0,Gray,None,120,Undiscovered,,
810,Grookey,8,Starter,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,227,50,65,50,40,40,65,310,Grass,,Overgrow,,Grassy Surge,"1'00""","0,3",11,5,,1,,,,,62,45,Med Slow,50,Green,M (87.5%),20,Field,Grass,Lv. 16
811,Thwackey,8,Starter,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,228,70,85,70,55,60,80,420,Grass,,Overgrow,,Grassy Surge,"2'04""","0,7","30,9",14,,2,,,,,147,45,Med Slow,50,Green,M (87.5%),20,Field,Grass,Lv. 35
812,Rillaboom,8,Starter,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,229,100,125,90,60,70,85,530,Grass,,Overgrow,,Grassy Surge,"6'11""","2,1","198,4",90,,3,,,,,265,45,Med Slow,50,Green,M (87.5%),20,Field,Grass,
813,Scorbunny,8,Starter,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,230,50,71,40,40,40,69,310,Fire,,Blaze,,Libero,"1'00""","0,3","9,9","4,5",,,,,,1,62,45,Med Slow,50,White,M (87.5%),20,Field,Human-Like,Lv. 16
814,Raboot,8,Starter,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,231,65,86,60,55,60,94,420,Fire,,Blaze,,Libero,"2'00""","0,6","19,8",9,,,,,,2,147,45,Med Slow,50,Gray,M (87.5%),20,Field,Human-Like,Lv. 35
815,Cinderace,8,Starter,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,232,80,116,75,65,75,119,530,Fire,,Blaze,,Libero,"4'07""","1,4","72,8",33,,,,,,3,265,45,Med Slow,50,White,M (87.5%),20,Field,Human-Like,
816,Sobble,8,Starter,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,233,50,40,40,70,40,70,310,Water,,Torrent,,Sniper,"1'00""","0,3","8,8",4,,,,,1,1,62,45,Med Slow,50,Blue,M (87.5%),20,Water 1,Field,Lv. 16
817,Drizzile,8,Starter,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,234,65,60,55,95,55,90,420,Water,,Torrent,,Sniper,"2'04""","0,7","25,4","11,5",,,,2,,,147,45,Med Slow,50,Blue,M (87.5%),20,Water 1,Field,Lv. 35
818,Inteleon,8,Starter,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,235,70,85,65,125,65,120,530,Water,,Torrent,,Sniper,"6'03""","1,9","99,6","45,2",,,,,,3,265,45,Med Slow,50,Blue,M (87.5%),20,Water 1,Field,
819,Skwovet,8,,,,,,,,,,,,,,,,,,,,,,,,,24,9,5,,29,72,,70,55,55,35,35,25,275,Normal,,Cheek Pouch,,Gluttony,"1'00""","0,3","5,5","2,5",1,,,,,,55,255,Med Fast,50,Brown,Neutral,20,Field,,Lv. 24
820,Greedent,8,,,,,,,,,,,,,,,,,,,,,,,,,25,10,6,,30,73,,120,95,95,55,75,20,460,Normal,,Cheek Pouch,,Gluttony,"2'00""","0,6","13,2",6,2,,,,,,161,90,Med Fast,50,Brown,Neutral,20,Field,,
821,Rookidee,8,,,,,,,,,,,,,,,,,,,,,,,,,21,,163,,40,,,38,47,35,33,35,57,245,Flying,,Keen Eye,Unnerve,Big Pecks,"0'08""","0,2",4,"1,8",,,,,,1,49,255,Med Slow,50,Blue,Neutral,15,Flying,,Lv. 18
822,Corvisquire,8,,,,,,,,,,,,,,,,,,,,,,,,,22,,164,,41,,,68,67,55,43,55,77,365,Flying,,Keen Eye,Unnerve,Big Pecks,"2'07""","0,8","35,3",16,,,,,,2,128,120,Med Slow,50,Blue,Neutral,15,Flying,,Lv. 38
823,Corviknight,8,,,,,,,,,,,,,,,,,,,,,,,,,23,,165,,42,,,98,87,105,53,85,67,495,Flying,Steel,Pressure,Unnerve,Mirror Armor,"7'03""","2,2","165,3",75,,,3,,,,248,45,Med Slow,50,Purple,Neutral,15,Flying,,
824,Blipbug,8,,,,,,,,,,,,,,,,,,,,,,,,,10,14,,,,,,25,20,20,25,45,45,180,Bug,,Swarm,Compound Eyes,Telepathy,"1'04""","0,4","17,6",8,,,,,1,,36,255,Med Fast,50,Blue,Neutral,15,Bug,,Lv. 10
825,Dottler,8,,,,,,,,,,,,,,,,,,,,,,,,,11,15,,,,,,50,35,80,50,90,30,335,Bug,Psychic,Swarm,Compound Eyes,Telepathy,"1'04""","0,4",43,"19,5",,,,,2,,117,120,Med Fast,50,Yellow,Neutral,15,Bug,,Lv. 30
826,Orbeetle,8,,,,,,,,,,,,,,,,,,,,,,,,,12,16,,,,,,60,45,110,80,120,90,505,Bug,Psychic,Swarm,Frisk,Telepathy,"1'04""","0,4","89,9","40,8",,,,,3,,253,45,Med Fast,50,Red,Neutral,15,Bug,,
827,Nickit,8,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,40,28,28,47,52,50,245,Dark,,Run Away,Unburden,Stakeout,"2'00""","0,6","19,6","8,9",,,,,1,,49,255,Fast,50,Brown,Neutral,15,Field,,Lv. 18
828,Thievul,8,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,70,58,58,87,92,90,455,Dark,,Run Away,Unburden,Stakeout,"3'11""","1,2","43,9","19,9",,,,,2,,159,127,Fast,50,Brown,Neutral,15,Field,,
829,Gossifleur,8,,,,,,,,,,,,,,,,,,,,,,,,,126,,166,,,,,40,40,60,40,60,10,250,Grass,,Cotton Down,Regenerator,Effect Spore,"1'04""","0,4","4,9","2,2",,,,,1,,50,190,Med Fast,50,Green,Neutral,20,Grass,,Lv. 20
830,Eldegoss,8,,,,,,,,,,,,,,,,,,,,,,,,,127,,167,,,,,60,50,90,80,120,60,460,Grass,,Cotton Down,Regenerator,Effect Spore,"1'08""","0,5","5,5","2,5",,,,,2,,161,75,Med Fast,50,Green,Neutral,20,Grass,,
831,Wooloo,8,,,,,,,,,,,,,,,,,,,,,,,,,34,,3,,,,,42,40,55,40,45,48,270,Normal,,Fluffy ,Run Away,Bulletproof,"2'00""","0,6","13,2",6,,,1,,,,122,255,Med Fast,50,White,Neutral,15,Field,,Lv. 24
832,Dubwool,8,,,,,,,,,,,,,,,,,,,,,,,,,35,,4,,,,,72,80,100,60,90,88,490,Normal,,Fluffy ,Steadfast,Bulletproof,"4'03""","1,3","94,8",43,,,2,,,,172,127,Med Fast,50,White,Neutral,15,Field,,
833,Chewtle,8,,,,,,,,,,,,,,,,,,,,,,,,,42,56,,,57,183,,50,64,50,38,38,44,284,Water,,Strong Jaw,Shell Armor,Swift Swim,"1'00""","0,3","18,7","8,5",,1,,,,,57,255,Med Fast,50,Green,Neutral,20,Monster,Water 1,Lv. 22
834,Drednaw,8,,,,,,,,,,,,,,,,,,,,,,,,,43,57,,,58,184,,90,115,90,48,68,74,485,Water,Rock,Strong Jaw,Shell Armor,Swift Swim,"3'03""",1,"254,6","115,5",,2,,,,,170,75,Med Fast,50,Green,Neutral,20,Monster,Water 1,
835,Yamper,8,,,,,,,,,,,,,,,,,,,,,,,,,46,,155,,,,,59,45,50,40,50,26,270,Electric,,Ball Fetch,,Rattled,"1'00""","0,3","29,8","13,5",1,,,,,,54,255,Fast,50,Yellow,Neutral,20,Field,,Lv. 25
836,Boltund,8,,,,,,,,,,,,,,,,,,,,,,,,,47,,156,,,,,69,90,60,90,60,121,490,Electric,,Strong Jaw,,Competitive,"3'03""",1,75,34,,,,,,2,172,45,Fast,50,Yellow,Neutral,20,Field,,
837,Rolycoly,8,,,,,,,,,,,,,,,,,,,,,,,,,161,,176,,91,,,30,40,50,40,50,30,240,Rock,,Steam Engine,Heatproof,Flash Fire,"1'00""","0,3","26,5",12,,,1,,,,48,255,Med Slow,50,Black,Neutral,15,Mineral,,Lv. 18
838,Carkol,8,,,,,,,,,,,,,,,,,,,,,,,,,162,,177,,92,,,80,60,90,60,70,50,410,Rock,Fire,Steam Engine,Flame Body,Flash Fire,"3'07""","1,1",172,78,,,2,,,,144,120,Med Slow,50,Black,Neutral,15,Mineral,,Lv. 34
839,Coalossal,8,,,,,,,,,,,,,,,,,,,,,,,,,163,,178,,93,,,110,80,120,80,90,30,510,Rock,Fire,Steam Engine,Flame Body,Flash Fire,"9'02""","2,8","684,5","310,5",,,3,,,,255,45,Med Slow,50,Black,Neutral,15,Mineral,,
840,Applin,8,,,,,,,,,,,,,,,,,,,,,,,,,205,19,,,108,33,,40,40,80,40,40,20,260,Grass,Dragon,Ripen,Gluttony,Bulletproof,"0'08""","0,2","1,1","0,5",,,1,,,,52,255,Erratic,50,Green,Neutral,20,Grass,Dragon,Tart Apple
841,Flapple,8,,,,,,,,,,,,,,,,,,,,,,,,,206,20,,,109,34,,70,110,80,95,60,70,485,Grass,Dragon,Ripen,Gluttony,Hustle,"1'00""","0,3","2,2",1,,2,,,,,170,45,Erratic,50,Green,Neutral,20,Grass,Dragon,Sweet Apple
842,Appletun,8,,,,,,,,,,,,,,,,,,,,,,,,,207,21,,,110,35,,110,85,80,100,80,30,485,Grass,Dragon,Ripen,Gluttony,Thick Fat,"1'04""","0,4","28,7",13,2,,,,,,170,45,Erratic,50,Green,Neutral,20,Grass,Dragon,
843,Silicobra,8,,,,,,,,,,,,,,,,,,,,,,,,,312,174,,,270,,,52,57,75,35,50,46,315,Ground,,Sand Spit,Shed Skin,Sand Veil,"7'03""","2,2","16,8","7,6",,,1,,,,63,255,Med Fast,50,Green,Neutral,20,Field,Dragon,Lv. 36
844,Sandaconda,8,,,,,,,,,,,,,,,,,,,,,,,,,313,175,,,271,,,72,107,125,65,70,71,510,Ground,,Sand Spit,Shed Skin,Sand Veil,"12'06""","3,8","144,4","65,5",,,2,,,,179,120,Med Fast,50,Green,Neutral,20,Field,Dragon,
845,Cramorant,8,,,,,,,,,,,,,,,,,,,,,,,,,309,93,,,,185,,70,85,55,85,95,85,475,Flying,Water,Gulp Missile,,,"2'07""","0,8","39,7",18,,,,,2,,166,45,Med Fast,50,Blue,Neutral,20,Water 1,Flying,
846,Arrokuda,8,,,,,,,,,,,,,,,,,,,,,,,,,180,96,,,136,90,,41,63,40,40,30,66,280,Water,,Swift Swim,,Propeller Tail,"1'08""","0,5","2,2",1,,,,,,1,56,255,Slow,50,Brown,Neutral,20,Water 2,,Lv. 26
847,Barraskewda,8,,,,,,,,,,,,,,,,,,,,,,,,,181,97,,,137,91,,61,123,60,60,50,136,490,Water,,Swift Swim,,Propeller Tail,"4'03""","1,3","66,1",30,,,,,,2,172,60,Slow,50,Brown,Neutral,20,Water 2,,
848,Toxel,8,Baby,,,,,,,,,,,,,,,,,,,,,,,,310,,,,198,,,40,38,35,54,35,40,242,Electric,Poison,Rattled,Static,Klutz,"1'04""","0,4","24,3",11,,,,1,,,48,75,Med Slow,50,Purple,Neutral,25,Undiscovered,,Lv. 30
849,Toxtricity (Amped),8,,,,,,,,,,,,,,,,,,,,,,,,,311,,,,199,,,75,98,70,114,70,75,502,Electric,Poison,Punk Rock,Plus,Technician,"5'03""","1,6","88,2",40,,,,2,,,176,45,Med Slow,50,Purple,Neutral,25,Human-Like,,
"849,1",Toxtricity (Low Key),8,,,,,,,,,,,,,,,,,,,,,,,,,311,,,,199,,,75,98,70,114,70,75,502,Electric,Poison,Punk Rock,Minus,Technician,"5'03""","1,6","88,2",40,,,,2,,,176,45,Med Slow,50,Purple,Neutral,25,Human-Like,,
850,Sizzlipede,8,,,,,,,,,,,,,,,,,,,,,,,,,159,,99,,,,,50,65,45,50,50,45,305,Fire,Bug,Flash Fire,White Smoke,Flame Body,"2'04""","0,7","2,2",1,,1,,,,,61,190,Med Fast,50,Red,Neutral,20,Bug,,Lv. 28
851,Centiskorch,8,,,,,,,,,,,,,,,,,,,,,,,,,160,,100,,,,,100,115,65,90,90,65,525,Fire,Bug,Flash Fire,White Smoke,Flame Body,"9'10""",3,"264,6",120,,2,,,,,184,75,Med Fast,50,Red,Neutral,20,Bug,,
852,Clobbopus,8,,,,,,,,,,,,,,,,,,,,,,,,,351,129,,,,,,50,68,60,50,50,32,310,Fighting,,Limber,,Technician,"2'00""","0,6","8,8",4,,1,,,,,62,180,Med Slow,50,Brown,Neutral,25,Water 1,Human-Like,Level Up (Knowing Taunt)
853,Grapploct,8,,,,,,,,,,,,,,,,,,,,,,,,,352,130,,,,,,80,118,90,70,80,42,480,Fighting,,Limber,,Technician,"5'03""","1,6",86,39,,2,,,,,168,45,Med Slow,50,Blue,Neutral,25,Water 1,Human-Like,
854,Sinistea,8,,,,,,,,,,,,,,,,,,,,,,,,,335,,132,,237,,127,40,45,45,74,54,50,308,Ghost,,Weak Armor,,Cursed Body,"0'04""","0,1","0,4","0,2",,,,1,,,62,120,Med Fast,50,Purple,None,20,Mineral,Amorphous,Cracked Pot/Chipped Pot
855,Polteageist,8,,,,,,,,,,,,,,,,,,,,,,,,,336,,133,,238,,128,60,65,65,134,114,70,508,Ghost,,Weak Armor,,Cursed Body,"0'08""","0,2","0,9","0,4",,,,2,,,178,60,Med Fast,50,Purple,None,20,Mineral,Amorphous,
856,Hatenna,8,,,,,,,,,,,,,,,,,,,,,,,,,241,,40,,282,92,,42,30,45,56,53,39,265,Psychic,,Healer,Anticipation,Magic Bounce,"1'04""","0,4","7,5","3,4",,,,1,,,53,235,Slow,50,Pink,F (100%),20,Fairy,,Lv. 32
857,Hattrem,8,,,,,,,,,,,,,,,,,,,,,,,,,242,,41,,283,93,,57,40,65,86,73,49,370,Psychic,,Healer,Anticipation,Magic Bounce,"2'00""","0,6","10,6","4,8",,,,2,,,130,120,Slow,50,Pink,F (100%),20,Fairy,,Lv. 42
858,Hatterene,8,,,,,,,,,,,,,,,,,,,,,,,,,243,,42,,284,94,,57,90,95,136,103,29,510,Psychic,Fairy,Healer,Anticipation,Magic Bounce,"6'11""","2,1","11,2","5,1",,,,3,,,255,45,Slow,50,Pink,F (100%),20,Fairy,,
859,Impidimp,8,,,,,,,,,,,,,,,,,,,,,,,,,238,,37,,285,190,,45,45,30,55,40,50,265,Dark,Fairy,Prankster,Frisk,Pickpocket,"1'04""","0,4","12,1","5,5",,,,1,,,53,255,Med Fast,50,Pink,M (100%),20,Fairy,Human-Like,Lv. 32
